lat,lon,depth,time,temperature,si,phosphate,din,irradiance,FID
-64,-170,100,12,-0.631578949741702,59.4201965277684,2.16865103941953,30.9645574638887,0.107133188624643,ANTA
-64,175,0,1,1.23337147683023,26.2795872331599,1.42179180607491,24.3556709986628,33.0180206298828,ANTA
-63,-142,40,12,-0.543454497154486,43.4837864757008,1.68325883071707,24.906735869718,3.83371220966011,ANTA
-63,-142,60,12,-0.769741466228783,43.9506967231793,1.7141573627689,25.0915401045715,1.26469507860792,ANTA
-63,-66,5,2,1.93084641352199,31.7241718652446,1.56479195126655,23.6417335978341,21.4028928639954,APLR
-63,-66,50,2,0.921312375860387,37.4103509527479,1.80224142543727,25.2712203761329,4.50089388464598,APLR
-63,-66,100,2,-0.535512615423104,52.3709653756228,2.11304411193393,30.1512332493519,0.795945895709262,APLR
-63,172,0,1,2.0145568265426,23.2168212942156,1.55097945386783,24.2310961081089,33.7074851989746,ANTA
-62,-170,10,12,1.79180040656427,18.9581774531722,1.403785606946,22.2798173757997,19.6695007262699,ANTA
-62,-170,35,12,1.22348448577736,23.8794158667607,1.60304637325308,24.0689225230364,3.8828692611927,ANTA
-62,-170,60,12,0.752385312510515,35.176339965256,1.94375078733182,27.3691583595531,0.766500070811624,ANTA
-62,-170,100,12,0.342818179574028,40.0928096051406,2.07617201924458,29.0366369077242,0.0571593510855591,ANTA
-62,-170,150,12,0.770946221682346,43.745394349446,2.14133059622549,30.6965878731668,0.00222744070957088,ANTA
-62,-140,20,12,-0.0430030769377166,41.8824202122637,1.79152804398443,24.8432702335682,13.4859124773208,ANTA
-62,-140,100,12,-0.965227091032661,43.5121371975711,1.83977767450712,25.2500111641742,0.257077596968306,ANTA
-62,-68,5,2,2.79947040876869,14.9571884188656,1.58146038516894,24.7176245049926,23.6746257948593,ANTA
-62,-68,10,2,2.92474111547269,15.2040863461402,1.59030761802145,25.0949755225531,20.4842063526506,ANTA
-62,-68,50,2,1.82561340186255,19.7348059261809,1.7304848457877,25.7799262037968,6.43438871229999,ANTA
-62,-68,75,2,0.325457066004126,26.5548518398533,1.85390224076131,27.7634750423539,3.12023560741713,ANTA
-62,-68,100,2,-0.0870954111650969,31.967339629743,2.00018675294393,29.3582168447045,1.51309948483259,ANTA
-62,-67,5,2,2.66110201024793,17.9984026539565,1.58595847826187,24.4241060964992,24.3120663150495,ANTA
-61,-170,20,12,2.35968827361675,13.6853772434951,1.44914122649614,22.2991479647307,12.0650276633197,ANTA
-61,-170,40,12,1.89149115140226,18.1991543957158,1.64009899814879,24.041629365923,3.82788410303444,ANTA
-61,-170,60,12,1.48791074541199,26.0909972267133,1.87351029009801,26.2869148011296,1.21447684291775,ANTA
-61,-170,100,12,1.00520955272311,30.6728217867516,2.00015213138801,27.767246970438,0.122250362215716,ANTA
-61,-170,150,12,1.10559002867707,33.4774853717226,2.04511474457621,29.1076251944446,0.0069314851941988,ANTA
-61,-116,20,12,3.22232534455852,3.4948965269061,1.56955770028828,23.0293142865227,11.4108029714961,ANTA
-61,-116,40,12,3.13240264896307,4.44256066334049,1.58358659711118,20.692556597696,3.70825494990296,ANTA
-61,-116,60,12,2.90460005735797,7.54349900006531,1.6641811067513,21.1623203992593,1.20509965931669,ANTA
-61,-116,100,12,2.40264834060986,23.1453888781921,1.93347887198579,23.8822599428597,0.127271077461675,ANTA
-61,-69,5,2,3.70919222330454,5.9789599279917,1.56242563193166,24.0724590594363,25.1950128637704,ANTA
-61,-68,10,2,3.65609578966574,8.2039720263045,1.58868231905909,24.5810437632649,21.7639661860379,ANTA
-61,-68,50,2,2.63566783625496,11.7077096312223,1.67664700733297,24.8703859056886,6.80908659509708,ANTA
-61,-68,100,2,0.645663835150424,22.2169917839946,1.92250372601622,28.1939347339993,1.59322596672584,ANTA
-61,-68,175,2,1.29717712009417,36.6311367493372,2.14018597655203,31.6799718403957,0.180326749343653,ANTA
-61,174,0,1,4.05156241129123,2.07934113905228,1.50639807771998,18.3682359090901,33.7179908752441,ANTA
-60,-172,10,12,3.50822731739995,7.37519531755721,1.45691525950516,21.8071553825942,19.4398315750547,ANTA
-60,-172,20,12,3.3555227946755,8.17930765150374,1.48808358635376,22.033957769295,9.8929780486463,ANTA
-60,-172,40,12,2.91173595698194,11.0356290284606,1.62206985623877,23.5183234669049,2.56210037751134,ANTA
